2025-11-17 02:51:26 startup archives install
2025-11-17 02:51:26 install base-passwd:amd64 <none> 3.6.1
2025-11-17 02:51:26 status half-installed base-passwd:amd64 3.6.1
2025-11-17 02:51:26 status unpacked base-passwd:amd64 3.6.1
2025-11-17 02:51:26 configure base-passwd:amd64 3.6.1 3.6.1
2025-11-17 02:51:26 status half-configured base-passwd:amd64 3.6.1
2025-11-17 02:51:26 status installed base-passwd:amd64 3.6.1
2025-11-17 02:51:26 startup archives install
2025-11-17 02:51:26 install base-files:amd64 <none> 12.4+deb12u12
2025-11-17 02:51:26 status half-installed base-files:amd64 12.4+deb12u12
2025-11-17 02:51:26 status unpacked base-files:amd64 12.4+deb12u12
2025-11-17 02:51:26 configure base-files:amd64 12.4+deb12u12 12.4+deb12u12
2025-11-17 02:51:26 status half-configured base-files:amd64 12.4+deb12u12
2025-11-17 02:51:27 status installed base-files:amd64 12.4+deb12u12
2025-11-17 02:51:27 startup archives install
2025-11-17 02:51:27 upgrade dpkg 1.21.22 1.21.22
2025-11-17 02:51:27 status half-configured dpkg 1.21.22
2025-11-17 02:51:27 status unpacked dpkg 1.21.22
2025-11-17 02:51:27 status half-installed dpkg 1.21.22
2025-11-17 02:51:27 status unpacked dpkg:amd64 1.21.22
2025-11-17 02:51:27 configure dpkg:amd64 1.21.22 1.21.22
2025-11-17 02:51:27 status half-configured dpkg:amd64 1.21.22
2025-11-17 02:51:27 status installed dpkg:amd64 1.21.22
2025-11-17 02:51:27 startup archives install
2025-11-17 02:51:27 install libc6:amd64 <none> 2.36-9+deb12u13
2025-11-17 02:51:27 status half-installed libc6:amd64 2.36-9+deb12u13
2025-11-17 02:51:28 status unpacked libc6:amd64 2.36-9+deb12u13
2025-11-17 02:51:28 configure libc6:amd64 2.36-9+deb12u13 2.36-9+deb12u13
2025-11-17 02:51:28 status half-configured libc6:amd64 2.36-9+deb12u13
2025-11-17 02:51:28 status installed libc6:amd64 2.36-9+deb12u13
2025-11-17 02:51:28 startup archives install
2025-11-17 02:51:28 install perl-base:amd64 <none> 5.36.0-7+deb12u3
2025-11-17 02:51:28 status half-installed perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:28 status unpacked perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:28 configure perl-base:amd64 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2025-11-17 02:51:28 status half-configured perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:28 status installed perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:28 startup archives install
2025-11-17 02:51:28 install mawk:amd64 <none> 1.3.4.20200120-3.1
2025-11-17 02:51:28 status half-installed mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:28 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:29 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-11-17 02:51:29 status half-configured mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:29 status installed mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:29 startup archives install
2025-11-17 02:51:29 install debconf:all <none> 1.5.82
2025-11-17 02:51:29 status half-installed debconf:all 1.5.82
2025-11-17 02:51:29 status unpacked debconf:all 1.5.82
2025-11-17 02:51:29 configure debconf:all 1.5.82 1.5.82
2025-11-17 02:51:29 status half-configured debconf:all 1.5.82
2025-11-17 02:51:29 status installed debconf:all 1.5.82
2025-11-17 02:51:29 startup archives unpack
2025-11-17 02:51:29 install adduser:all <none> 3.134
2025-11-17 02:51:29 status half-installed adduser:all 3.134
2025-11-17 02:51:29 status unpacked adduser:all 3.134
2025-11-17 02:51:29 install apt:amd64 <none> 2.6.1
2025-11-17 02:51:29 status half-installed apt:amd64 2.6.1
2025-11-17 02:51:30 status unpacked apt:amd64 2.6.1
2025-11-17 02:51:30 upgrade base-files:amd64 12.4+deb12u12 12.4+deb12u12
2025-11-17 02:51:30 status half-configured base-files:amd64 12.4+deb12u12
2025-11-17 02:51:30 status unpacked base-files:amd64 12.4+deb12u12
2025-11-17 02:51:30 status half-installed base-files:amd64 12.4+deb12u12
2025-11-17 02:51:30 status unpacked base-files:amd64 12.4+deb12u12
2025-11-17 02:51:30 upgrade base-passwd:amd64 3.6.1 3.6.1
2025-11-17 02:51:30 status half-configured base-passwd:amd64 3.6.1
2025-11-17 02:51:30 status unpacked base-passwd:amd64 3.6.1
